Cluster,Score,Type,Gene,Symbol,Network
2,3.625,Clustered,9021,SOCS3,MyList_SUB1
2,3.625,Clustered,3007,H1-3,MyList_SUB1
2,3.625,Clustered,55175,KLHL11,MyList_SUB1
2,3.625,Clustered,114907,FBXO32,MyList_SUB1
2,3.625,Clustered,55527,FEM1A,MyList_SUB1
2,3.625,Clustered,3009,H1-5,MyList_SUB1
2,3.625,Clustered,9040,UBE2M,MyList_SUB1
2,3.625,Clustered,7994,KAT6A,MyList_SUB1
2,3.625,Clustered,1387,CREBBP,MyList_SUB1
2,3.625,Seed,10116,FEM1B,MyList_SUB1
2,3.625,Clustered,8364,H4C3,MyList_SUB1
2,3.625,Clustered,29945,ANAPC4,MyList_SUB1
2,3.625,Clustered,317772,H2AC21,MyList_SUB1
2,3.625,Clustered,51320,MEX3C,MyList_SUB1
2,3.625,Clustered,8945,BTRC,MyList_SUB1
2,3.625,Clustered,55294,FBXW7,MyList_SUB1
3,2.4545454545454546,Clustered,3718,JAK3,MyList_SUB1
3,2.4545454545454546,Clustered,867,CBL,MyList_SUB1
3,2.4545454545454546,Clustered,3566,IL4R,MyList_SUB1
3,2.4545454545454546,Seed,7297,TYK2,MyList_SUB1
3,2.4545454545454546,Clustered,7037,TFRC,MyList_SUB1
3,2.4545454545454546,Clustered,1856,DVL2,MyList_SUB1
3,2.4545454545454546,Clustered,3949,LDLR,MyList_SUB1
3,2.4545454545454546,Clustered,3458,IFNG,MyList_SUB1
3,2.4545454545454546,Clustered,1213,CLTC,MyList_SUB1
3,2.4545454545454546,Clustered,5971,RELB,MyList_SUB1
3,2.4545454545454546,Clustered,6774,STAT3,MyList_SUB1
1,1.8,Clustered,790,CAD,MyList_SUB1
1,1.8,Clustered,25942,SIN3A,MyList_SUB1
1,1.8,Clustered,50807,ASAP1,MyList_SUB1
1,1.8,Clustered,84445,LZTS2,MyList_SUB1
1,1.8,Clustered,23381,SMG5,MyList_SUB1
1,1.8,Clustered,5829,PXN,MyList_SUB1
1,1.8,Clustered,54880,BCOR,MyList_SUB1
1,1.8,Clustered,79888,LPCAT1,MyList_SUB1
1,1.8,Clustered,56623,INPP5E,MyList_SUB1
1,1.8,Clustered,3916,LAMP1,MyList_SUB1
1,1.8,Clustered,5297,PI4KA,MyList_SUB1
1,1.8,Clustered,84726,PRRC2B,MyList_SUB1
1,1.8,Clustered,3836,KPNA1,MyList_SUB1
1,1.8,Clustered,5170,PDPK1,MyList_SUB1
1,1.8,Clustered,5310,PKD1,MyList_SUB1
1,1.8,Clustered,1362,CPD,MyList_SUB1
1,1.8,Clustered,1994,ELAVL1,MyList_SUB1
1,1.8,Clustered,23326,USP22,MyList_SUB1
1,1.8,Clustered,23396,PIP5K1C,MyList_SUB1
1,1.8,Clustered,23367,LARP1,MyList_SUB1
1,1.8,Clustered,5093,PCBP1,MyList_SUB1
1,1.8,Clustered,93624,TADA2B,MyList_SUB1
1,1.8,Clustered,55181,SMG8,MyList_SUB1
1,1.8,Clustered,64783,RBM15,MyList_SUB1
1,1.8,Clustered,51366,UBR5,MyList_SUB1
1,1.8,Clustered,23528,ZNF281,MyList_SUB1
1,1.8,Clustered,11218,DDX20,MyList_SUB1
1,1.8,Clustered,55697,VAC14,MyList_SUB1
1,1.8,Clustered,29890,RBM15B,MyList_SUB1
1,1.8,Clustered,6929,TCF3,MyList_SUB1
1,1.8,Clustered,8140,SLC7A5,MyList_SUB1
1,1.8,Clustered,23049,SMG1,MyList_SUB1
1,1.8,Clustered,8940,TOP3B,MyList_SUB1
1,1.8,Clustered,5330,PLCB2,MyList_SUB1
1,1.8,Clustered,8440,NCK2,MyList_SUB1
5,1.5,Clustered,25885,POLR1A,MyList_SUB1
5,1.5,Clustered,23067,SETD1B,MyList_SUB1
5,1.5,Clustered,9739,SETD1A,MyList_SUB1
5,1.5,Seed,29072,SETD2,MyList_SUB1
4,1.2857142857142858,Clustered,8189,SYMPK,MyList_SUB1
4,1.2857142857142858,Clustered,2033,EP300,MyList_SUB1
4,1.2857142857142858,Clustered,9031,BAZ1B,MyList_SUB1
4,1.2857142857142858,Clustered,10514,MYBBP1A,MyList_SUB1
4,1.2857142857142858,Clustered,6942,TCF20,MyList_SUB1
4,1.2857142857142858,Clustered,56852,RAD18,MyList_SUB1
4,1.2857142857142858,Seed,9716,AQR,MyList_SUB1
6,1.0,Clustered,9612,NCOR2,MyList_SUB1
6,1.0,Seed,55809,TRERF1,MyList_SUB1
6,1.0,Clustered,54815,GATAD2A,MyList_SUB1
7,1.0,Seed,8805,TRIM24,MyList_SUB1
7,1.0,Clustered,10155,TRIM28,MyList_SUB1
7,1.0,Clustered,9698,PUM1,MyList_SUB1
8,1.0,Clustered,10274,STAG1,MyList_SUB1
8,1.0,Clustered,1063,CENPF,MyList_SUB1
8,1.0,Clustered,401541,CENPP,MyList_SUB1
9,1.0,Clustered,51540,SCLY,MyList_SUB1
9,1.0,Seed,112812,FDX2,MyList_SUB1
9,1.0,Clustered,2395,FXN,MyList_SUB1
10,1.0,Seed,7090,TLE3,MyList_SUB1
10,1.0,Clustered,8861,LDB1,MyList_SUB1
10,1.0,Clustered,283149,BCL9L,MyList_SUB1
11,1.0,Clustered,4928,NUP98,MyList_SUB1
11,1.0,Seed,10564,ARFGEF2,MyList_SUB1
11,1.0,Clustered,11260,XPOT,MyList_SUB1
